key,displayName,category,region,region_name,type,cargo_needed,experience,money,descriptionText,Source
US_01_01_EXPLORE_GARAGE_OBJ,Get To The Garage,_CONTRACTS,US_01,Michigan,exploration,,200,850,The old and rusty vehicle garage has seen things. It was abandoned at the beginning of the flood and may be used as a base of local operations now.,CONTRACTS
US_01_01_EXPLORING_TRUCK_OBJ,First Truck,_CONTRACTS,US_01,Michigan,exploration,,200,650,"There should be an old truck nearby the local Lumbermill. Was left over by the logistical company used to operate here. Rusty, but still capable. Discover its location and use it to handle the bridge repairs.",CONTRACTS
US_01_01_EXPLORING_WATCHTOWER_OBJ,The Watchtower,_CONTRACTS,US_01,Michigan,exploration,,100,250,"Welcome to Steel River Township! There's plenty of work around here, but you'll need a real truck first. There's a new ride with your name on it in a parking lot nearby. First, get to the watchtower to explore the area.",CONTRACTS
US_01_01_MISSED_OILTANK_TSK,Missing Oil Tank,_TASKS,US_01,Michigan,truckDelivery,,280,2400,"Got a spot of trouble here, pal. We have an oil tank trailer that's missing. Pretty sure it got washed off the road somewhere and is probably stuck in a swamp by now. How 'bout lending a hand?",TASKS
US_01_01_MOTEL_NEEDS_TSK,Motel Woes,_TASKS,US_01,Michigan,truckDelivery,,210,1850,I know this town ain't exactly a tourist trap but we do what we can. The local motel is in bad shape and it's down to us to help 'em out. We've got a shipment of equipment for them. Can you deliver it?,TASKS
US_01_01_STUCK_TRAILER_TSK,Stuck Trailer,_TASKS,US_01,Michigan,truckDelivery,,240,1600,"It looks like the first wave of relief workers that rolled up here were a bunch of idiots. They managed to lose a whole trailer! Go find it and bring it back, will you?",TASKS
US_01_01_LOST_CARGO_TSK,Missing Machinery,_TASKS,US_01,Michigan,cargoDelivery,4× Service Spare Parts Special,280,3200,A shipment of important machinery to a local factory was... interrupted... by an unfortunate incident with the previous driver. The responsibility is all yours now. I'd take a crane if I were you.,TASKS
US_01_01_MOUNTAIN_BRIDGE_TSK,Mountain Bridge,_TASKS,US_01,Michigan,cargoDelivery,1× Metal Planks; 2× Blocks,260,1850,These rockslides are becoming the bane of my life. We need to create alternate routes around the area to avoid the slides or operations are going to grind to a halt. A mountain bridge would solve this.,TASKS
US_01_01_ROAD_BLOCKAGE_TSK,Road Block,_TASKS,US_01,Michigan,cargoDelivery,2× Service Spare Parts,170,1650,"Rocks? Again? Seriously? Come on! Do me a favour and handle this, will you?",TASKS
US_01_01_BOATMAN_TOOLS_DELIVERY_TSK,Riverside Repair,_TASKS,US_01,Michigan,cargoDelivery,2× Service Spare Parts; 2× Wooden Planks,180,1600,Steel River here. Our river fleet was badly damaged and the only person who can help us is all out of equipment. Can you supply our guy with the tools he needs to patch us up?,TASKS
US_01_01_LANDSLIDE_TSK,Rockslide,_TASKS,US_01,Michigan,cargoDelivery,1× Metal Planks; 1× Service Spare Parts,180,1600,We've got a rockslide problem. They keep knocking out our infrastructure but we don't have the resources to stop them. We'd sure be grateful if you could take a look.,TASKS
US_01_01_FALLEN_POWER_LINES_TSK,Fallen Powerline,_TASKS,US_01,Michigan,cargoDelivery,1× Metal Planks; 2× Blocks,200,1550,We can't get a darn thing done round here! The power lines are down and all we get from the town are excuses! Well? What are you waiting for? Do something about it!,TASKS
US_01_01_WOODEN_BRIDGE_TSK,Wooden Bridge,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks,120,1400,"The river is swollen and our vehicles are having a nightmare trying to cross to the drilling site. We need a simple, robust bridge to stop our trucks getting waterlogged. Get to it.",TASKS
US_01_01_SWAMP_EXPLORATION_TSK,Drainage,_TASKS,US_01,Michigan,exploration,,180,3050,It's time to drain the swamps. We installed some simple pumps out here in the 70's. They may be a bit old and rusty but they should be functional. See if you can find them.,TASKS
US_01_01_KING_OF_HILLS_TSK,King Of The Hill,_TASKS,US_01,Michigan,exploration,,160,2800,You sure have been busy lately! Why not take some time out to enjoy the local country. I've marked a couple of locations on your map that offer fantastic views. Be sure to check them out.,TASKS
US_01_01_LOCAL_ENTERTAINMENT_TSK,Local Entertainment,_TASKS,US_01,Michigan,exploration,,130,2200,"The workers in a nearby factory have a little game. There are multiple barrels hidden in some hard to reach places and you have to knock 'em down. So far, no one has managed all of them. Think you can do it?",TASKS
US_01_01_THE_PLACE_BEYOND_THE_SPRUCES_TSK,The Place Beyond The Spruces,_TASKS,US_01,Michigan,exploration,,60,1050,"There's a place in the mountains, not far away, that has the most stunning views. I like to relax up there from time to time. Why don't you take a look? Just try not to destroy everything getting up there.",TASKS
US_01_01_FOOD_DELIVERY_CNT,Food Delivery,_CONTESTS,US_01,Michigan,cargoDelivery,2× Crate Large,100,1050,Dyson Diesel's regular food shipment has been delayed for days. If we don't get some grub over to those oilmen soon the rumbling in their bellies will be louder than the drilling!,CONTESTS
US_01_01_WOODEN_ORDER_CNT,Pinewood Express,_CONTESTS,US_01,Michigan,cargoDelivery,2× Wooden Planks; 1× Wooden Planks; 1× Wooden Planks,110,950,The local farms are in desperate need of fresh wood to repair their damaged structures. The requests are constant. Can you get in there and help. They pay well.,CONTESTS
US_01_01_METEO_DATA_CNT,Meteorology Data,_CONTESTS,US_01,Michigan,exploration,,70,1100,Keeping up with this darn river is driving us crazy. We need advanced warning so we can be ready for a spill. There's a couple meteorology sensors nearby. Real tough to reach. You think you can make it?,CONTESTS
US_01_02_CLEAR_ROCKS_01_TSK,The Long Way,_TASKS,US_01,Michigan,cargoDelivery,2× Service Spare Parts,160,1500,We've got a couple of nasty rockslides clogging up the river. Husky Forwarding won't take responsibility because it's in the river and not on the road. We could really use your help with this.,TASKS
US_01_02_RESOURCES_FOR_WINTER_OBJ,Winter Stores,_CONTRACTS,US_01,Michigan,truckDelivery,2× Vehicles Spare Parts,420,5000,Winter's closing in. Soon it'll be impossible to get supplies into the base. The rig'll keep drilling no matter what but a fat lot of good it'll do if we run out of food and equipment. Help us out?,CONTRACTS
US_01_02_MATERIALS_ORDER_OBJ,Materials Order,_CONTRACTS,US_01,Michigan,cargoDelivery,2× Concrete Slab; 2× Crate Large; 1× Metal Planks,730,5000,Husky Forwarding here. We just got a massive material request from several local facilities in the Smithville Dam area. They're working round the clock to try and recover from the flood and could really use a hand.,CONTRACTS
US_01_02_FARM_ORDER_OBJ,The Essentials,_CONTRACTS,US_01,Michigan,cargoDelivery,2× Bricks; 2× Wooden Planks; 2× Barrels,440,4100,The local farm in Smithville Dam area is in dire shape. They need basic materials for repairs plus some fuel to power their generators. The road leading up there is completely destroyed so proceed with caution.,CONTRACTS
US_01_02_WORK_FOR_OLD_SWEAT_OBJ,Work For Old Sweat,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Concrete Slab; 2× Service Spare Parts,380,3450,The local Quarry is still having trouble. The main road that connects them to the town is completely shot and we can't get vehicles in there. Get them what they need and we'll be sure to reward you.,CONTRACTS
US_01_02_FUEL_ORDER_OBJ,Fuel Order,_CONTRACTS,US_01,Michigan,cargoDelivery,2× Container Small,280,2900,"Dyson Diesel here. Now that the quarry is back in operation, we need to clear out all the old equipment and move it to the warehouse. Right now, we barely have enough room to move. Please make this a priority.",CONTRACTS
US_01_02_BRICKS_DELIVERY_TSK,Tools Delivery,_TASKS,US_01,Michigan,truckDelivery,,270,2450,One of our warehouses needs to optimise their loading hub. Right now they lack the tools and equipment to do it. Get 'em what they need and we'll make sure you're compensated for your trouble.,TASKS
US_01_02_LOST_TRAILER_TSK,Lost Trailer,_TASKS,US_01,Michigan,truckDelivery,,180,1900,How everybody keeps managing to lose their stuff I do not know! We've got another renegade trailer on the loose. Get out there and find it will ya?,TASKS
US_01_02_UNLUCKY_FISHERMAN_TSK,Unlucky Fisherman,_TASKS,US_01,Michigan,truckDelivery,,250,1850,"They say fishing is supposed to be relaxing, unless you manage to lose your truck! Go help that poor sap drag his rig out of the river, will ya? I'm sick of hearing him get weepy over the phone.",TASKS
US_01_02_RIVER_CROSSING_TSK,Across The River,_TASKS,US_01,Michigan,truckDelivery,,150,1350,"So, we need a trailer delivered... to the middle of a river. Why? Well... I can't tell you. Are you in or not?",TASKS
US_01_02_TRUCK_RESTORATION_TSK,Fixer Upper,_TASKS,US_01,Michigan,truckDelivery,,140,1200,There's an old broken down truck nearby that needs some serious TLC. If you're up for a bit of elbow grease then it's all yours. I'm sure you'll find a use for it.,TASKS
US_01_02_CLEAN_THE_RIVER_EAST_TSK,Threatening Accident,_TASKS,US_01,Michigan,cargoDelivery,4× Barrels Oil,340,3500,Has the whole town gone looney? A driver managed to drop a whole cargo of fuel into the river! I've since fired him but I've got a bunch of barrels floating around the river that need hauling out.,TASKS
US_01_02_CLEAN_THE_RIVER_WEST_TSK,Unfortunate Event,_TASKS,US_01,Michigan,cargoDelivery,3× Barrels Oil,310,3100,"Dyson Diesel here. We've got a situation. We lost a couple of barrels of fuel in the river. I'd appreciate it if you'd handle it... quietly. I don't need any troublesome environmental enquiries, understand?",TASKS
US_01_02_SOLID_FOUNDATION_TSK,Solid Foundation,_TASKS,US_01,Michigan,cargoDelivery,1× Concrete Slab,400,3000,The life of a recluse seems to be catching on. A guy wants to build a house in the middle of nowhere and he's got a shipment of concrete slabs he wants to use for the foundation. Can you haul 'em up there?,TASKS
US_01_02_LOST_BAGS_TSK,Lost Bags,_TASKS,US_01,Michigan,cargoDelivery,4× Bags,330,2900,Dyson Diesel here. One of our contractors has lost a number of construction materials down the river. We need them back.,TASKS
US_01_02_FOOD_FOR_WORKERS_TSK,Hungry Workers,_TASKS,US_01,Michigan,cargoDelivery,2× Crate Large,240,2400,"Apparently, Dyson Diesel management has prioritized materials and equipment deliveries above food and water. The workers are living off basic rations and morale is not looking good. Can you pick up the slack?",TASKS
US_01_02_WOODEN_BRIDGE_TSK,Smithville Bridge,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks,200,2200,"We've decided to construct a bridge that will cut out the degraded road and make our route to the warehouse shorter and safer. We need you to get wooden planks out there, fast.",TASKS
US_01_02_DRILL_FOR_OUTCAST_TSK,Well Well Well,_TASKS,US_01,Michigan,cargoDelivery,1× Vehicles Spare Parts,210,2100,Old Bill Anderson lives way out in the woods. He's kind of an oddball but we try to help him out when we can. Will you help to deliver everything he needs?,TASKS
US_01_02_BARRELS_DELIVERY_TSK,More Fuel,_TASKS,US_01,Michigan,cargoDelivery,2× Barrels,180,1900,The local farmers have been pulling long hours to get their properties cleaned up. They're making progress but they're burning through fuel. Can you haul another tank over to their private facility?,TASKS
US_01_02_FALLEN_ROCKS_TSK,Rock On,_TASKS,US_01,Michigan,cargoDelivery,2× Service Spare Parts,170,1300,We've got another rockslide that's putting a highway out of action. Can you get a shipment over there to help get it cleared out?,TASKS
US_01_02_REPAIR_THE_TRUCK_TSK,Repair The Truck,_TASKS,US_01,Michigan,exploration,,180,1900,If you're looking for some extra cash I've got a nice little job for you. I saw a broken truck near an abandoned house. I'd sure be grateful if you could repair it.,TASKS
US_01_02_FIND_THE_ANTENNA_TOWER_TSK,Find The Antenna Tower,_TASKS,US_01,Michigan,exploration,,80,1400,Our archives show the existence of an antenna tower in the area. It hasn't been used in twenty years but we want to restore it and put it to good use. Can you take a look around and see if you can find it?,TASKS
US_01_02_MICHIGAN_TRIAL_TSK,Michigan Trial,_TASKS,US_01,Michigan,exploration,,80,1350,There's an old trail close by here that the locals use for sport. It's pretty rugged. You have to reach all of the flags on the course. Think you can beat it?,TASKS
US_01_02_FLOODED_HOUSE_CNT,Going Under,_CONTESTS,US_01,Michigan,cargoDelivery,2× Blocks,150,1250,My darn uncle is so stubborn! Everyone told him not to scrimp on the foundations but he's such a penny pincher. Now his house is half floating away! You've got to help him!,CONTESTS
US_01_02_HOUSE_RENOVATION_CNT,New Nest,_CONTESTS,US_01,Michigan,cargoDelivery,2× Bricks,110,1050,My house was destroyed in the flood. I managed to rescue most of the sentimental stuff but we're going to have to build a new place to live. Can you get us the equipment and materials we need to get started?,CONTESTS
US_01_02_FARMERS_NEEDS_CNT,Heavy Burden,_CONTESTS,US_01,Michigan,cargoDelivery,3× Service Spare Parts,110,900,"As part of our 'Help in the Community' operation, we're supplying a shipment of tools to a local farm to help them recover from the flood. Make sure it reaches them in one piece.",CONTESTS
US_01_03_POWER_WIRES_1_CONTRACT_OBJ,Power Lines,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Metal Planks; 1× Metal Planks; 1× Metal Planks,610,4400,That weather sure ain't cutting us any slack. The last storm tore up a bunch of power lines which means we have people sitting in the dark until they're fixed. Any chance you can help?,CONTRACTS
US_01_03_DROPPED_VEHICLE_SEARCHING_TSK_01,The Huntsman And The Car,_TASKS,US_01,Michigan,truckDelivery,,140,1100,"Heard about Jim, the local farmer? Went out hunting last weekend and managed to get his car stuck real good in the swamp. Ain't no way we're getting the thing out on our own. Maybe you could give it a try?",TASKS
US_01_03_SWAMP_CROSSING_01_TSK,Tough Negotiations,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks,100,1000,"A certain company made the town an attractive offer, the basis of which has absolutely nothing to do with drilling for oil on public land. All they're asking for is a bridge for their supplies and total silence. You in?",TASKS
US_01_03_DROPPED_VEHICLE_SEARCHING_TSK_02,Rusty Legacy,_TASKS,US_01,Michigan,truckDelivery,,160,1500,"Hey there, I'm Ted. I run a repair place in town. So, random story here. Buddy of mine found an abandoned truck. Since I ain't got the time or resources to get it myself, I figured you might help. Whaddaya say, pal?",TASKS
US_01_03_SWAMP_CROSSING_02_TSK,Bridge The Gap,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks,100,900,"Hey, I'm Tony from the oil company. Our drilling team is having a heck of a time trying to get gear to the site. The terrain's too rough and we could really use a bridge. Can you help us out? We'd pay you well.",TASKS
US_01_03_SWAMP_CROSSING_03_TSK,Corporate Expansion,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks,110,1150,"Hey, it's Tony again. We found another area that looks like it might produce oil. We wanna do some testing but we're gonna need -- you guessed it -- another bridge to get our equipment there. Can we count on you?",TASKS
US_01_03_DROPPED_VEHICLE_SEARCHING_TSK_03,A Little Help For My Friends,_TASKS,US_01,Michigan,exploration,,70,1250,"Oh, man, we could really use a favor here. We were doing some hauling for Dyson and got stuck in the dang mud. Boss is gonna chew us out of we don't get it delivered on time. Can you do us a solid and help us out?",TASKS
US_01_03_LUMBER_MILL_REACTIVATION_OBJ,Lumber Mill Revival,_CONTRACTS,US_01,Michigan,truckDelivery,2× Blocks; 1× Metal Planks,590,4800,We're getting the old Lumber Mill back up and running. We could use a hand hauling some of the materials to the site. I believe there is a trailer with the necessary materials in the warehouse nearby.,CONTRACTS
US_01_03_LOST_CARGO_TSK,Instruments Of Development,_CONTRACTS,US_01,Michigan,cargoDelivery,3× Container Large Drilling,770,5950,"We did some digging out on the old swamp and it looks like there could be oil out there. We wanna start drilling, but first we're gonna need you to get rid of some old equipment that's in the way.",CONTRACTS
US_01_03_CARGO_PORT_OBJ,Harbor Delivery,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Container Large Drilling,590,4750,The old drills you've helped us recover are now packed up for shipment. All that's left is to get them over to Drummond Island's port and get 'em off our hands. Get that done so we can bring in the new gear.,CONTRACTS
US_01_03_SHORT_CUT_TSK,Hunter Bob's Вridge,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks; 2× Wooden Planks,140,1700,Always nice to see new faces around here! I have a favor to ask. We've got this old bridge not far from here that could really use fixing up. I'll make it worth your while.,TASKS
US_01_03_FIX_THE_ANTENNA_TSK,Broken Antenna,_TASKS,US_01,Michigan,cargoDelivery,1× Container Small,140,1200,"So, we can't afford to fix the TV tower so we've got to fix it ourselves. I'll walk you through it but first we need to grab some parts and get them to the tower.",TASKS
US_01_03_TRUCK_REPAIR,No Country For Old Truck,_TASKS,US_01,Michigan,exploration,,160,1500,"Man, it's a crying shame the way some people treat their stuff. This truck must've been a Cowboy Cadillac back in the day, now it's a total heap. If you can get it out of here, maybe I can get it running again.",TASKS
US_01_03_FIND_THE_ANTENNA_TSK,Signal In The Mountains,_TASKS,US_01,Michigan,exploration,,40,600,"It never rains but it pours, right? Seems like the old TV tower up on the ridge is on the blink again. I hate to ask but could you get up there and see if it can be repaired?",TASKS
US_01_03_BARREL_CNT,Flaming Barrels,_CONTESTS,US_01,Michigan,cargoDelivery,1× Barrels Oil,110,950,We've got a situation here. A shipment of oil barrels got stuck in the forest. We're on a tight schedule and we need that oil ASAP. Get out there and bring back as much as you can.,CONTESTS
US_01_04_BUILD_A_BRIDGE_OBJ_1,Support Local Rangers,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks,100,1000,"Hey, nice to meet ya. Name's Mitch. I'm a forest ranger. Word in town is that you're the man for bridge problems. I happen to have a little bridge that could use some repair. You interested?",TASKS
US_01_04_SUPPLIES_FOR_REGION_2_OBJ,Cement For The Region,_CONTRACTS,US_01,Michigan,cargoDelivery,2× Bags; 2× Bags; 2× Bags; 2× Bags,2000,22350,"Hi! Somehow lots of demand for cement cropped up in this region. Lots of cargo, lots of destinations. Not an easy task. But I am sure you will ace it.",CONTRACTS
US_01_04_MED_LOGS_2_OBJ,Timber At Arm's Reach,_CONTRACTS,US_01,Michigan,cargoDelivery,3× Logs Medium; 2× Logs Long; 1× Logs Medium; 1× Logs Long; 2× Logs Medium,1850,17250,"Several local households and a sawmill near a lake on the island request some logs. The batch is rather big, so you may want to bring some help or make several trips. The cheque at the end should make you happy.",CONTRACTS
US_01_04_LONG_LOGS_2_OBJ,Logs To The Workers!,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Logs Long; 1× Logs Long,1030,9600,"The Quarry and the Drilling Site desperately need logs. After the recent rain, the heavy machinery is drowning in mud, so something needs to go under the wheels. Work has stopped while the budget gets wasted. Hurry!",CONTRACTS
US_01_04_BUILD_A_BRIDGE_OBJ_2,Of Bridges And Men,_TASKS,US_01,Michigan,cargoDelivery,2× Wooden Planks,100,1000,"Hey there, bridge-fixin' man. It's Mitch again. Believe it or not, I've got another bridge in need of your expert attention. Can you have a look? I'd sure appreciate it.",TASKS
US_01_04_BUILD_A_BRIDGE_OBJ_3,Ten-Hut,_TASKS,US_01,Michigan,cargoDelivery,1× Metal Planks; 1× Concrete Slab; 1× Metal Planks; 1× Blocks,640,6000,"Greetings. I'm Captain Smith from the Army Corp of Engineers. We'd usually use our own guys for this, but, I gotta tell you, your bridge prowess is legendary. We've got one that needs help. Can you show us how it's done?",TASKS
US_01_04_CARGO_DELIVERING_OBJ,Out With The Old,_CONTRACTS,US_01,Michigan,truckDelivery,2× Metal Planks; 1× Big Drills,1180,11000,"With the old sites now shut down, it's time to set up our shiny new ones. Get the necessary equipment over there ASAP so we can break ground and get to that oil!",CONTRACTS
US_01_04_MULTIORDER_OBJ,Super Order,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Barrels; 1× Crate Large; 1× Service Spare Parts; 1× Wooden Planks; 1× Barrels; 1× Crate Large; 1× Blocks; 1× Vehicles Spare Parts; 1× Barrels; 1× Metal Planks; 1× Concrete Slab,2740,32650,"Wow, look at you! Ready for work? We have a job for an ace like you—lots of cargo to be taken to various destinations. It requires some complicated logistics, but it'll be quicker if you have a helper.",CONTRACTS
US_01_04_LONG_LOGS_OBJ,Timber For The Locals,_CONTRACTS,US_01,Michigan,cargoDelivery,3× Logs Long; 3× Logs Medium; 3× Logs Medium,2060,22450,Local businesses need lots of timber. It's good that the Timber Station is working again. You have to pick up some logs there and haul them to the customers. You may need special equipment for loading and transportation.,CONTRACTS
US_01_04_CARGO_FROM_SHIP_OBJ,Cargo From The Ship,_CONTRACTS,US_01,Michigan,cargoDelivery,2× Container Large,1270,14100,"A businessman contacted us. His cargo is stuck on a ship that went aground. Big containers in a narrow passage. Wouldn't be much of a problem for you now, would it? Although if I were you, I would use help.",CONTRACTS
US_01_04_MED_LOGS_OBJ,Aid At The Island,_CONTRACTS,US_01,Michigan,cargoDelivery,1× Logs Medium; 1× Logs Medium; 2× Logs Medium,990,11300,"A farm and several residences on the Isle of Drammond requested a shipment of logs. We gotta help them. There are logs at the Timber Stations, but they have to be delivered. Are you up to it?",CONTRACTS
US_01_04_FIND_LOST_TRUCK_TSK,Mud Wrestling,_TASKS,US_01,Michigan,truckDelivery,,140,1200,"It's Ted from the auto repair place. Some city folk thought it would be nice to get back to nature. Surprise, surprise, they got stuck in the mud. I'd complain, but I make most of my income off these fools. Can you help?",TASKS
US_01_04_FALLEN_CARGO_TSK,Cousin Cletus,_TASKS,US_01,Michigan,cargoDelivery,2× Barrels Oil,340,2150,"Hey. I'm Chris from Dyson. You ever trust somebody and they lose cargo and now you might get fired? I'm not saying that 'somebody' is my cousin Cletus, but I'm not saying it's not Cletus. Can you find the lost cargo?",TASKS
US_01_04_LOST_CARGO_DELIVERY_TSK,Lost Delivery,_TASKS,US_01,Michigan,cargoDelivery,3× Container Small Special,240,2150,Hi. I'm Karen from the Steel River mayor's office. Today's shipment for the Main Street Renewal Project came up a few pallets short. Would you be a good citizen and find them and bring them to the construction site?,TASKS
US_01_04_LOST_SHIP_OBJ,Forged By The Sea,_TASKS,US_01,Michigan,exploration,,50,850,"Tony again. A little birdie told me that a cargo ship washed ashore not too far from here. Hypothetically, if my employer was interested in that cargo and would pay you to retrieve it, would that spark your interest?",TASKS
US_01_04_OBSERVATION_DECK_TSK,The Silent Observer,_TASKS,US_01,Michigan,exploration,,40,650,"You're probably tired of hearing how bad the weather's been, but let's be honest, it's also feathering your nest. One of our observation points went silent in the last storm. Can you head out there and see if it's ok?",TASKS
US_01_04_PATH__PASSING_TSK,Tourist Attraction,_TASKS,US_01,Michigan,exploration,,30,500,"Hi sweetie. It's Karen again from Steel River Township. With tourist season coming up and all the rain we've had, we've gotta make sure that the road to Hollis Island is in decent shape. Could you check it out for us?",TASKS
US_01_04_EXPLORING_CNT,A Race With The Rain,_CONTESTS,US_01,Michigan,exploration,,40,600,"This weather, man. We're already getting reports that the road to the farm may be washed out from the rain. We need you to get out there right now to check it out before it gets any worse. We're all counting on you.",CONTESTS
US_02_01_LOGS_01_OBJ,Timber!,_CONTRACTS,US_02,Alaska,cargoDelivery,2× Logs Medium; 1× Logs Long,624,5670,"Hi! The sawmill near the port is running out of wood, so we'll pay to have some delivered.",CONTRACTS
US_02_01_MOUNTAIN_CONQUEST_1_CNT,North Mountain Conquest,_CONTESTS,US_02,Alaska,exploration,,50,750,People say you're one of the best drivers around. Maybe. Maybe not. How 'bout a little challenge to see if you can beat my record?,CONTESTS
US_02_01_OIL_DELIVERY_02_OBJ,Mountain Delivery,_CONTRACTS,US_02,Alaska,cargoDelivery,4× Barrels Oil,290,2500,"I do love looking up at those beautiful mountains. Driving up there? Now, that's a whole different ball game. I need you to ship these pallets to the Service Hub among the peaks. Take it easy out there.",CONTRACTS
US_02_01_MOUNTAIN_CONQUEST_2_CNT,West Mountain Conquest,_CONTESTS,US_02,Alaska,exploration,,40,650,"Heard you've got some nerve, pal. Let's check it out. Reach every point marked on the map and I'll admit defeat. Do you accept my challenge or you gonna chicken out?",CONTESTS
US_02_01_DISASS_OBJ,Floating Drill,_CONTRACTS,US_02,Alaska,truckDelivery,,360,3350,"Black Bird needs your help, old pal! We're removing the floating oil derrick and we need you deliver the Rig Salvage Trailer to the Port.",CONTRACTS
US_02_01_DRILL_DELIVERY_OBJ,Drilling Supplies,_CONTRACTS,US_02,Alaska,cargoDelivery,1× Container Small; 1× Pipes Medium,670,5900,"Looks like you're the chosen one! Chosen to save the day and deliver materials to a drilling site, that is! I used to do it all myself in my younger days but my body ain't what it used to be. Well, get going!",CONTRACTS
US_02_01_OIL_DELIVERY_OBJ,Oil Delivery,_CONTRACTS,US_02,Alaska,cargoDelivery,1× Barrels Oil; 1× Barrels Oil; 1× Barrels Oil; 1× Barrels Oil,520,5600,Oil is the lifeblood of our economy round here. Nothing moves without it. Get up behind that wheel and haul the latest shipment to its destination and I'll make sure you're paid well.,CONTRACTS
US_02_01_SPECIAL_DELIVERY_OBJ,Drilling Parts Delivery,_CONTRACTS,US_02,Alaska,cargoDelivery,4× Service Spare Parts Special,470,4400,"We've dismantled a floating oil derrick and all the spare parts are packed into boxes. Take them to the Factory, where our guys will decide what to do with them.",CONTRACTS
US_02_01_POLAR_BASE_OBJ,Port Polar Base Supply,_CONTRACTS,US_02,Alaska,cargoDelivery,4× Bricks; 1× Metal Planks; 2× Barrels,390,3450,"We've got a bunch of brainiac scientist fellas that get their kicks drilling holes in the ice. They happen to be big customers of ours so we like having them around. They ask for something, you deliver. You dig?",CONTRACTS
US_02_01_BARRELS_OBJ,Fire In A Barrel,_CONTRACTS,US_02,Alaska,cargoDelivery,2× Barrels,250,2750,"Hello there! Our client, a port service, wants us to deliver a shipment of fuel. Take the barrels, drive to the port and show me you are worth the expense.",CONTRACTS
